date,station,special,first,second,third,fourth,fifth,sixth,seventh,eighth
2008-01-08,Đồng Tháp,58819,01052,97235,"59575, 73138","85526, 66523, 69607, 67822, 89910, 23470, 07953",3654,"2110, 3730, 8545",914,65
2008-01-09,Bến Tre,46569,98802,71011,"93418, 51007","08464, 23190, 79580, 74450, 16874, 40827, 86682",0788,"4512, 9804, 2294",764,05
2008-01-09,Cần Thơ,56445,68552,34980,"13008, 62429","61393, 69362, 08742, 61027, 82348, 29803, 09365",8575,"5333, 0401, 8590",093,96
2008-01-09,Sóc Trăng,91416,03965,89448,"39175, 56518","09271, 53772, 35785, 73290, 00436, 04132, 09905",3595,"3102, 7980, 7099",007,10
2008-01-09,Vũng Tàu,29267,99998,44973,"89500, 94930","28285, 02583, 45341, 66434, 63342, 03862, 53470",4054,"4307, 8522, 3618",118,87
2008-01-09,Đồng Tháp,21538,41693,70348,"86248, 53983","10029, 74459, 27775, 67086, 82791, 08053, 80687",8989,"0615, 6363, 8128",439,85
2008-01-10,An Giang,77310,90649,52182,"80847, 02738","04076, 44447, 69118, 37208, 13458, 31878, 80790",1455,"1999, 8349, 7044",557,25
2008-01-10,Bình Thuận,22278,77597,19895,"81731, 63233","11778, 58261, 80031, 69660, 38554, 40012, 62282",5417,"7636, 8717, 4021",919,03
2008-01-10,Cần Thơ,56445,68552,34980,"13008, 62429","61393, 69362, 08742, 61027, 82348, 29803, 09365",8575,"5333, 0401, 8590",093,96
2008-01-10,Sóc Trăng,91416,03965,89448,"39175, 56518","09271, 53772, 35785, 73290, 00436, 04132, 09905",3595,"3102, 7980, 7099",007,10
2008-01-10,Tiền Giang,60466,06318,50510,"92899, 44410","32324, 78759, 89387, 46176, 02732, 82058, 54072",0003,"2395, 3740, 8385",195,32
2008-01-10,Đồng Tháp,21538,41693,70348,"86248, 53983","10029, 74459, 27775, 67086, 82791, 08053, 80687",8989,"0615, 6363, 8128",439,85
2008-01-11,An Giang,77310,90649,52182,"80847, 02738","04076, 44447, 69118, 37208, 13458, 31878, 80790",1455,"1999, 8349, 7044",557,25
2008-01-11,Bình Thuận,22278,77597,19895,"81731, 63233","11778, 58261, 80031, 69660, 38554, 40012, 62282",5417,"7636, 8717, 4021",919,03
2008-01-11,Bến Tre,68701,00315,03568,"80154, 35647","01776, 80069, 86680, 60569, 72238, 99212, 69084",9187,"8143, 0249, 1084",421,10
2008-01-11,Tiền Giang,60466,06318,50510,"92899, 44410","32324, 78759, 89387, 46176, 02732, 82058, 54072",0003,"2395, 3740, 8385",195,32
2008-01-11,Trà Vinh,20556,92571,02572,"80891, 83150","91780, 74447, 73115, 46801, 37025, 42944, 32921",8081,"3568, 8604, 7764",373,54
2008-01-11,Vĩnh Long,08784,78876,82796,"02400, 99554","02666, 60464, 84958, 11154, 54442, 79186, 83443",9712,"1322, 8312, 3307",152,42
2008-01-12,Bình Phước,67537,48080,50492,"95883, 06615","91559, 05057, 73265, 99800, 92325, 68568, 22757",6911,"2100, 0887, 2687",120,13
2008-01-12,Bến Tre,68701,00315,03568,"80154, 35647","01776, 80069, 86680, 60569, 72238, 99212, 69084",9187,"8143, 0249, 1084",421,10
