date,station,special,first,second,third,fourth,fifth,sixth,seventh,eighth
2026-04-04,Bình Phước,34,23,34,"86, 08","68, 15, 17, 67, 89, 79, 93",73,"55, 12, 60",85,59
2026-04-04,Bến Tre,57,72,43,"65, 70","22, 72, 34, 13, 46, 32, 61",48,"21, 71, 73",70,12
2026-04-04,Hồ Chí Minh,91,50,51,"37, 61","33, 31, 75, 87, 94, 14, 02",16,"55, 25, 18",69,00
2026-04-04,Hồ Chí Minh,32,12,48,"51, 57","44, 44, 18, 23, 94, 76, 68",00,"41, 80, 82",31,44
2026-04-04,Long An,02,67,15,"31, 90","58, 55, 55, 11, 42, 19, 69",02,"35, 78, 42",12,27
2026-04-04,Trà Vinh,33,34,17,"26, 36","82, 54, 62, 75, 38, 50, 33",87,"56, 54, 99",60,83
2026-04-04,Vĩnh Long,49,26,91,"12, 99","03, 95, 74, 49, 87, 30, 31",64,"92, 83, 01",03,69
